"","text"
"178","larrainvial activos santiago  agosto  sefores comisin   mercado financiero presente hecho esencial fondo  inversion lvpatio renta inmobiliaria “ fondo ” autorizado  resolucin n°   junio  administrado  larrain vial activos sa administradora general  fondos   consideracion  cumplimiento   dispuesto   articulo    inciso segundo  articulo   ley n°  conforme   normas informacien continuum contenidas   norma  caracter general n°   comision comunicamos  hecho esencial   directorio  larrain vial activos sa administradora general  fondos  “ administradora ”  sesion celebrada  dia  agosto  acord distribuir dividendo provisorio   aportantes  fondo   cantidad total   cargo   utilidades  ejercicio  fondo  ultimo acorde   pago   dividendos sefialados serum realizado  partir  dia  agosto    oficinas   sociedad administradora ubicadas   bosque norte n° piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  ° dia habil anterior   fecha  pago  prorrata  numero  cuotas    titulares   fecha   particular saluda  usted f claudio ‘ heck regonara gerente general larrain vial activos sa administradora general  fondos cc bolsa  comercio  santiago bolsa electronica  chile  bolsa  corredores  valparaiso "
"179","santiago  agosto  sefiores comisin   mercado financiero presente hecho esencial credicorp capital asset management sa administradora general  fondos ref comunica hecho esencial  credicorp capital asset management sa administradora general  fondos   consideracien   calidad  gerente general  credicorp capital asset management sa administradora general  fondos  “ sociedad ”  conformidad   dispuesto   articulo  inciso segundo  articulo   ley n°  mercado  valores    establecido   norma  caracter general n°   comision debidamente facultado  ello   presente comunico  ud  caracter  hecho esencial  siguiente   misma fecha  recibido  renuncia efectuada  don cristian letelier braun  cargo  director   sociedad   ende   presidente  directorio    hace efectiva  partir   fecha   particular saluda in alvaro “ fdladriz mellado gerente general credicorp capital asset management sa administradora general  fondos "
"180","pacifico v region  santiago  agosto  sefior joaquin cortez huerta presidente comisien   mercado financiero avda libertador bernardo  ’ higgins n° presente ref hecho esencial pacifico v region sa registro  valores n   consideracien  medio   presente  cumplimiento   establecido   articulo    ley  mercado  valores   instrucciones contenidas   norma  caracter general n°   comisien encontrandome debidamente facultado  efecto informo  usted  calidad  “ hecho esencial ”  pacifico v regidn sa  adelante  “ sociedad ”   fecha  agosto   expirado  plazo  disponian  accionistas disidentes  ejercer  derecho  retiro   origind   fusien  incorporacien   sociedad  sociedad punta  cobre sa “ pucobre ” acordada  junta extraordinaria  accionistas   sociedad  fecha  julio   “ junta ”  respecto informamos  ustedes  ningtin accionista ejercid  derecho  retiro      accionistas   sociedad pasaran  ser accionistas  pucobre segtin  plazos   relacien  canje aprobados   junta   particular  saluda atentamente diego errazuriz vidal gerente general pacifico v region sa cc bolsa  comercio  santiago bolsa electronica  chile bolsa  corredores  valparaiso archivo s av  bosque sur piso n°  condes santiago chile cod postal n° fono fax email pacificopvrsacl "
"181","santiago  agosto  sefiores comisien   mercado financiero avda libertador bernardo ohiggins n° presente hecho esencial ref comunica hecho esencial  filgueira consultores limitada registro rea cambio  domicilio   consideracion informamos  siguiente cambio  domicilio  filgueira consultores limitada direccioen actual avenida presidente riesco oficina piso telefono fijo celular   particular  despide carlos filgueira ramos gerente general rut filgueira consultores limitada rut registro rea n° "
"182","club  golf  deportes  oliveto sa santiago agosto  sefior joaquin cortes comision   mercado financiero av libertador bernardo  ’ higgins presente hecho esencial club  golf  deportes  oliveto sa   consideracien  cumplimiento   dispuesto  articulo °    inciso °  articulo   ley n°  conforme   normas  informacion continuum contenidas   norma  caracter general n°   superintendencia comunicamos  ud  hecho esencial   sociedad club  golf  deportes  oliveto sa   fecha  agosto   celebre sesion extraordinaria  directorio  dicha sociedad     acord suspender junta extraordinaria  accionistas citada   dia  agosto   publicacion realizada  dias   agosto   diario oficial   republica  chile   acuerdo  oficio n°   agosto    particular  saluda atentamente i migueja gel dd dae genexa — € gore oliveto sa ff l "
"183"," ae saud ad  respaeo santiago  agosto  sefior joaquin cortez huerta comision   mercado financiero presente ref comunica hecho esencial nibsa sa inscrita registro  valores   n°   consideracien  medio   presente  segtin  disponen  articulos °  °   ley n°  mercado  valores informamos  ud    sesien  directorio   sociedad realizada  fecha  agosto   tom conocimiento   siguientes hechos esenciales respecto   sociedad don cristian espinosa concha presente  renuncia  cargo  gerente general   sociedad  contar   septiembre renuncia   aceptada  forma undnime igualmente  forma undnime  design  nuevo gerente general   sociedad  don ian kiimmerlin gottschald   particular  saludamos atentamente   concha undurraga presidente directorio "
"184","sigdo koppers sa hecho esencial sigdo koppers sa sociedad andnima abierta inscripcioen n° registro  valores malaga octavo piso  condes santiago  agosto  ggsk sefior joaquin cortez huerta presidente   comisin   mercado financiero comisin   mercado financiero av libertador bernardo  ’ higgins santiago ref comunica hecho esencial — reparto dividendo provisorio estimado sefior mediante  presente comunicamos  usted   reunion ordinaria  directorio celebrada  dia  agosto   acord  unanimidad pagar  dividendo provisorio  us equivalente  us  accien  cargo   utilidades  ejercicio   equivalente  peso conforme  tipo  cambio dolar observado publicado   diario oficial  dia  septiembre   pago   dividendo  efectuard  contar  dia  septiembre    oficinas  sercor sa sociedad administradora  registro  accionistas  sigdo koppers sa ubicadas  avenida  golf piso  condes santiago cuyo horario habitual  atencidn   lunes  viernes   horas  cheque nominativo  nombre  accionista   sefiores accionistas  asi  soliciten   solicitado   enviaran  cheque  correo   depositard  dividendo  cuenta corriente personal tendren derecho  dividendo  indicado  sefiores accionistas  figuren inscritos   registro respectivo  dia  septiembre   aviso    refiere  art  reglamento  sociedades anenimas serum publicado   diario financiero   edicion  dia  septiembre  oportunamente  sociedad comunicard   sefiores accionistas  calificacion tributaria  presente dividendo provisorio adjunto enviamos  ustedes formulario n° reparto  dividendos   circular n°   superintendencia  valores  seguros     contiene  detalle   antecedentes relativos  presente reparto  dividendo provisorio saluda atentamente g ustedes yp titan hyn pablo aboitiz dominguez  eg have cmf comision   mercado financiero fool fmt t x om uso interno of  pars cmf formulario nl reparto  dividendos informacin original si sino fecha envio dd mm aa ‘ ‘ il identificacien   sociedad   movimiento rut fecha  envio form original ddmmaa nombre dela sociedad sigdo koppers sa n° reg  valores serie afecta unica cedigo bolsa sk ind  mov have acuerdo  monto  dividendo fecha  acuerdo dd mm aa toma  acuerdo junta gral ordin  acc junta extraord  acc sesien  directorio monto  dividendo us tipo  moneda uss acciones  accionistas  derecho numero  acciones fecha limite dd mm aa caracter  dividendo tipo  dividendo provisorio def minimo obligat definitive adicional  eventual cierre  ejercicio dd mm aa ns — — cmf comision   mercado financiero circ of circ  fecha sa fm bi cr  pagina forma  pago  dinero optativo  dinero  acciones   propia emisien optativo  dinero  acciones   sociedad  modalidad pago  dividendo  dinero   dinero  optativo  dinero  acciones pago  dinero us acc tipo  moneda us fecha  pago dd mm aa reparto  dividendo optativo  acciones fecha inicio opcien dd mm aa fecha termino opcien dd mm aa fecha entrega titulo dd mm aa serie  optar selo si  opcien   acciones   propia emisien acc post mov selo si  opcien   acciones   propia emisien rut soc emisora re slo si  opcien   acciones   cuales  sociedad  titular cedigo bolsa factor acciones acciones  recibir   accien cderecho precio delaacciem face tipode moneda observaciones  reunien ordinaria  directorio  sigdo koppers sa celebrada   agosto   acord  pago  dividendo provisorio n°s  us  accien  cargo   utilidades  ejercicio  registro contable  dividendo sefialado   parrafo anterior  hara  ddelares estadounidenses   cuenta patrimonial utilidades acumuladas usando   conversion  tipo  cambio observado  dia  septiembre  declaracion “  informacien contenida   formulario   expresien fiel   verdad    asumo  responsabilidad legal correspondiente ’  ff lis li kad s ©  cie fonsrabloaboitis doratngucs rente general "
"185","sociedad educativa leonardo da vinci sa colegio leonardo da vinci pasaje vecinal n° fono emailgerenciacldvcl calama hechos esenciales sociedad educativa leonardo da vinci sa calama  noviembre  junto  saludarloa cordialmente   presente informo    quorum  celebrar junta general ordinaria  accionistas  primera citacien fijada   dia  octubre    horas via videoconferencia  traves   plataforma zoom asistieron  total  accionistas    hara llamado  dacitacion   dia  noviembre  presente ano   hr saluda atentamente  ud edury sd v ax je  lane aguirre gerente general sociedad educativa leonardo da vinci sa "
"186","x  santiago  agosto  hecho esencial enjoy sa inscripcien registro  valores n° sefior joaquin cortez h presidente comision   mercado financiero presente   consideracien   calidad  gerente general  enjoy sa “ enjoy ”   virtud   dispuesto   articulos °  °   ley n°  mercado  valores  debidamente facultado   directorio  medio   presente comunico  ud  caracter  hecho esencial  siguiente  fecha  hoy   designado  gerente  finanzas cfo   compafiia  don esteban rigo righi baillie   desempefiaba  gerente  finanzas corporativas  enjoy  sefior rigo righi asumira  cargo  contar  dia  hoy   particular  saluda atentamente cood s¢ erente general enjoy sa "
"187","corredores  bolsa santiago  agosto  sefior joaquin cortez presidente comision   mercado financiero presente hecho esencial tan corredores  bolsa sa   consideracien informo  usted   sesion ordinaria celebrada  dia  hoy  directorio  tan corredores  bolsa sa  tomado conocimiento  aceptado  renuncia  cargo  director   sociedad presentada  don fernando tafra sturiza   nombrado   reemplazo  don gustavo antonio inostroza aldunate  asumie  funciones  inmediato conforme   establecido   ley n  estatutos   sociedad  directorio debera ser elegido integramente   proxima junta ordinaria  accionistas atentamente vd johana perez mufio gerente general tan corredores  bolsa sa cc bolsa  comercio  santiago bolsa  valores bolsa electrenica  chile bolsa  valores ei golf oficina  condes santiago  chile tannercl "
"188","cy metro  santiago hecho esencial empresa  transporte  pasajeros metro sa inscripcien   registro  valores n° n° gg santiago  agosto  ref comunica hecho esencial  senor presidente comision   mercado financiero  gerente general s metro sa  conformidad   establecido   articulo °  inciso segundo  articulo °   ley n°    norma  caracter general n°   comisien   mercado financiero debidamente facultado cumplo  informar  usted  siguiente hecho esencial respecto   sociedad  acuerdo  directorio adoptado  unanimidad   directores asistentes  sesien celebrada   agosto   resolvid convocar  junta extraordinaria  accionistas   empresa  transporte  pasajeros metro sa    septiembre    horas   oficinas   empresa   objeto  pronunciarse   capitalizacion  aportes fiscales    suma   tabla  materias  tratar   reunien indicada  remitira oportunamente   organismo saluda atentamente  usted hernan vega molina gerente general s metro sa f f lal il yy hvmigmm we lib bernardo ohiggins santiaga chile tel wwwemetrocl "
"189"," aes hecho esencial rsm chile auditores limitada santiago  agosto  sefior joaquin cortez huerta presidente comisin   mercado financiero av libertador bernardo  ’ higgins santiago ref comunica hecho esencial   consideracien  acuerdo   establecido   articulo °    inciso segundo  articulo °   ley  mercado  valores    norma  caracter general n° debidamente facultado  medio  presente informo  siguiente hecho esencial  rsm chile auditores limitada  fecha  agosto   sefiores david molina candia eduardo medina corvalan  cesar millacoy ibdfiez  dejado  prestar servicios profesionales   sociedad rsm chile auditores limitada  saluda atentamente gio luis landa tobar rsm chile auditores limitada the power of be understand rsm chile auditores ltda audit tax consult av  golf oficina  condes santiago chile ios miembros dea rejrsm cada mlemredelared sm ex  firma gecontacrtayasesora independiente lacial ejerce bajo  propios derechos  red rsm    siuna entidad legal separada  ninguna jurisdiccion wwwrsmchilecl "
"190","fi bancoestado administradora general  fondos hecho esencial bancoestado sa administradora general  fondos santiago  agosto  sefior joaquin cortez huerta presidente comisin   mercado financiero presente ref cambios   administracien bancoestado sa administradora general  eondos   consideracion bancoestado sa administradora general  fondos  conformidad   dispuesto   articulo   ley n°  administracien  fondos  terceros  carteras individuales  relacion   articulos °  inciso segundo  articulo   ley n°   tratarse   hecho esencial   sociedad   referencia comunica  usted  siguiente   fecha don emiliano figueroa  presentado  renuncia  cargo  director   sociedad    hard efectiva  contar  dia  agosto  presente afio   particular saluda atentamente  usted f — — ee pablo mayorga vasquez gerente general bancoestado sa administradora general  fondos cmf cc archivo nueva york piso santiago — telefono fax "
"191","b i ce securitizadora hecho esencial securitizadora bice sa inscrita   registro  valores n° santiago  agosto  sefiores comisionados comision   mercado financiero av libertador bernardo ohiggins presente ref hecho esencial informa renuncia  nueva designacien director   consideracion  cumplimiento   dispuesto   articulo °    articulo ° inciso segundo   ley n°    norma  cardcter general n°   comisin   mercado financiero  permito informar  usted   sesidn  directorio  securitizadora bice sa celebrada  dia  hoy  directorio tome conocimiento  acepto  renuncia  cargo  director presentada   sefior patricio fuentes mechasqui  reemplazo  sefior fuentes  om  calidad  director  sefior rony jara amigo   particular saluda atentamehte  uds javier valenzuela cruz gerente general securitizadora bice sa teatinos piso santiago chile telefono bicecl "
"192","xd x felix jara cadot ee notario publico  notaria  santiago lmiw huerfanos subsuelo fono ze santiago wwwnotariafjccl b aab repertorio n° s refbernales acta fs sesion extraordinaria  directorio l sociedad concesionaria aeropuerto  antofagasta sa  santiago  chile  yeinticuatro  agosto  afio dos mil dieciocho   felix jara cadot notario publico   cuadragesima primera notaria  santiago  domicilio  calle huerfanos mil ciento sesenta subsuelo comuna  santiago comparece don miguel cristobal araneda valdes chileno abogado soltero cedula  identidad numero dieciocho millones ciento sesenta  nueve mil quinientos cuarenta  seis guidn tres domiciliado  vitacura numero dos mil setecientos treinta  seis oficina dos mil ciento  comuna   condes regien metropolitana mayor  edad  acredito  identidad   cedula  senalada  expone  debidamente facultado viene  reducir  escritura publica  acta sesion extraordinaria  directorio “ “ sociedad concesionaria aeropuerto  antofagasta sa manifestando   encuentra suscrita   persona    misma  indica  acta   reduce  escritura publica   siguiente tenor  santiago  chile  treinta  julio  dos mil dieciocho   once treinta horas   oficinas ubicadas  avenida vitacura dos mil setecientos treinta  seis oficina dos mil ciento  comuna   condes  lugar  sesien extraordinaria  directorio   sociedad concesionaria aeropuerto  antofagasta sa  “ sociedad ”  asistencia asisten   reunierds siguientes miembros  directorio   sociedad  egtofes pubtico z miao  aab notaria i verifique  documento   sitio web www notariafjccl titulares don mariano valle ponce  don jose bernales undurraga don mauricio castillo salina director suplente  titular don martin schmidli don omar becerra mella director suplente  titular don johann gigl  excusaron  asistir  sefiores directores stefan conrad don martin schmidli  johann gigl  director don mariano valle ponce presidid  sesidn asiste asimismo don miguel araneda valdes  actud  secretario  actasdos instalacion  directorio encontrandose presente  mayoria absoluta   miembros  directorio  dio  constituida  instalada  sesidn tres revocacion   poderes otorgados   sociedad i presidente expresa  directorio   consideracien   cambios producidos   sociedad  atendida  necesidad  mantener  estructura  poderes clara  ordenada respecto   administracidn social resulta necesario revocar  poderes otorgados  anterioridad   fecha    encuentran vigentes  otorgar nuevos poderes  representacien  virtud   anterior  directorio  ‘  unanimidad   miembros acorde revocar  poderes  representar   sociedad    fecha  encuentran vigentes   especial aquellos otorgados   sesion  directorio celebrada  treinta  junio  dos mil diecisiete    reducida  escritura puiblica  fecha cero siete  julio  dos mil diecisiete   notaria  santiago  don felix jara cadot repertorio veintidds mil ciento tres  afo dos mil diecisiete asimismo  directorio acuerda   unanimidad   miembros presentes   poderes otorgados   sociedad vigentes   fecha  entenderaen revocados   fecha    reduzca  escritura plblica  acta   sesidn  directorio cuatro otorgamiento  nuevos poderes i sefior presidente mao aab verifique  documento   sitio web wwwnotariafjccl felix jara cadot notario publico notaria  santiago huerfanos subsuelo fono santiago www notariafjccl sefiala  necesidad    sociedad  otorquen nuevos poderes    representada   actos contratos  operaciones  ejecute  celebre  forma  pueda haber  agil  expedita operatoria   desarrollo   negocios sociales despues   breve debate   particular  directorio  unanimidad   miembros presentes acord conferir  siguiente estructura  poderes   representacion   sociedad poder   directorio acuerda  unanimidad otorgar poder general   sefiores stefan conrad  nacionalidad suiza martin schmidli  nacionalidad suiza johann gig  nacionalidad alemana felipe fraser gonzalez chileno   actuando conjuntamente dos cualquiera  ellosejerzan todas  facultades  administracien  disposicin  bienes necesarios   cumplimiento  objeto social   realizacion   negocios propios   giro  perjuicio   representacion   corresponde  gerente general    poderes especiales   adelante  expresan  particular  mandatarios podran representar   sociedad    amplias facultades   limitacion alguna  podra ejercer todas  facultades  administracion  disposicien  bienes necesarias   cumplimiento  objeto social   realizacidn   negocios propios   giro  perjuicio   representacidn   corresponde  gerente general  conformidad   ley dieciocho mil cuarenta  seis  sociedades anonimas  particular  mandatarios podran representar   sociedad    amplias facultades   limitacidn alguna  podran ejecutar toda clase  actos contratos  negocios  digan relacin   objeto social    necesarios convenientes  nientes  conducentes   fine    serum necesario acreditarante tercerosal efecto     enumeracidn  taxativa  ff waka qo io ul publico  eel aab notaria verifique  documento   sitio web wwwnotariafjccl stet ex sino meramente enunciativa  mandatarios podranuno comprar vender permutar   general adquirir  enajenar  cualquier titulo toda clase  bienes muebles  inmuebles corporales  incorporales incluso valores mobiliarios acciones debentures   celebrar contratos  promesa   sefialados bienes   dos dar  tomar  arrendamiento administracidn concesidn  subconcesin toda clase  bienes   corporales  incorporales raices  muebles  celebrar  tipo  contratos   fine tres dar  tomar bienes  comodato cuatro dar  tomar dinero   bienes  mutuo cinco dar  recibir dinero   bienes  depdsito   necesario  voluntario   secuestro seis dar  recibir bienes  hipoteca incluso  clausula  garantia general posponer alzar  servir hipotecas siete dar  recibir  prenda  cualquier naturaleza toda clase  bienes muebles valores mobiliarios derechos acciones  demas cosas corporales  incorporales   prenda civil mercantil warrant bancaria agraria industrial  desplazamiento especial  concesien  cosa muebles vendida  plazo    cualquier naturaleza especiales alzarlas  cancelarlas ocho celebrar contratos  novacien nueve celebrar contratos  transporte  fletamento  cambio  correduria   transaccion diez celebrar contratos  constituir   sociedad  agente representante comisionista distribuidora  concesionaria     constituya once celebrar contratos  sociedad  cualquier clase   cuentas  participacion  cualquier clase  objeto  ingresar  sociedades you constituidas representar   sociedad  voz  voto   sociedades comunidades asociaciones cuentas  participacien sociedades  hecho  organizaciones  cualquier especie    forme parte     interes on aab verifique  documento   sitio web wwwnotariafjccl fellx jara cadot notaria  santiago ee ffono searaaiotacatieh doce celebrar contratos  seguros pudiendo acordar primas fijar riesgos plazos  demas condiciones cobrar pdlizas endosarlas cancelarlas aprobar  impugnar liquidaciones  siniestros etcetera trece celebrar contratos  cuenta corriente mercantil imponerse   movimiento  aprobar  rechazar  saldos catorce celebrar contratos  trabajo   colectivos  individuales contratar trabajadores  empleados contratar servicios profesionales  tecnicos quince celebrar cualquier  contrato nominado     contratos   sociedad celebre podrae convenir  modificar toda clase  pactos  estipulaciones esten   contemplados especialmente   leyes     esencia   naturaleza  meramente accidentales fijar precios intereses rentas honorarios remuneraciones reajustes indemnizaciones plazos condiciones deberes atribuciones epocas  forma  pago   entrega cabidas deslindes etcetera dieciseis percibir  entregar otorgar fianzas constituir   sociedad  codeudora solidaria garantizar obligaciones  terceros pactar solidaridad activa  pasiva convenir cldusulas penales  favor      sociedad aceptar toda clase  cauciones real personales  toda clase  garantias  beneficio   sociedad  hacer    constituya fijar multas  favor      pactar prohibiciones  gravar  enajenar ejercitar  renunciar  acciones    nulidad rescisien resolucidn eviccion etcetera  aceptar  renuncia  derechos  acciones rescindir resolver resciliar dejar  efecto poner termino  solicitar  terminacien   contratos exigir rendiciones  cuentas aprobarlas  objetarlas   general ejercitar  renunciar   derechos  acciones  competan   sociedad diecisiete contratar prestamos  moneda nacional  extranjera  cualquier mmm aab verifique  documento   sitio web wwwnolariafjccl "
"193","hecho esencial santiago  agosto  sociedad concesionaria concesiones urbanas sa inscripcion   registro especial  entidades informantes n° sefior joaquin cortez huerta presidente comisien   marcado financiero avenida libertador bernardo  ’ higgins — piso santiago ref reparto  dividendo eventual sefior superintendente  conformidad   dispuesto   articulos °  ° inciso °   ley n°  norma  caracter general n°  relacion   norma  caracter general n°    circulares   todas   comisien   debidamente facultado   presente comunico  ud  caracter  hecho esencial   junta extraordinaria  accionistas  sociedad concesionaria concesiones urbanas sa  acord distribuir  dividendo eventual   suma total  equivalente  peso   razen   suma equivalente  peso   accien  cargo   cuenta  ganancias acumuladas adjunto   presente  formulario n° referido  reparto  dividendo  sefialado   particular saluda atentamente  usted geen nego innrnrnnnrocenenia “ claudio lobos valdes ’ gerente general sociedad concesionaria concesiones urbanas sa circular n° eee formulario n° reparto  dividendos informacion original si sino fecha envio identificacion   sociedad   movimiento rut fecha  envio form original nombre   sociedad sociedad concesionaria concesiones urbanas sa n° reg  valores serie afecta unica cedigo bolsa indiv  mov acuerdo  monto  dividendo fecha  acuerdo tomadel acuerdo junta gral ordin  acci junta extraord  acc sesien  directorio monto  dividendo tipo  moneda acciones  accionistas  derecho numero  acciones fecha limite caracter  dividendo tipo  dividendo provisorio def minimo obligat  finitivo adicional  eventual cierre  ejercicio — formadepago  dinero optativo  dinero  acciones   propia emisien optativo  dinero  acciones   sociedad  modalidad pago  dividendo  dinero   dinero  optativo  dinero acciones pago  dinero ace tipo  moneda fecha  pago dd mm aa reparto  dividendo optativo  acciones circular n° fecha  inicio opcidn dd mm aa fecha termino opcien dd mm aa fecha entrega titulo dd mm aa serie  optar sdlo si  opcien   acciones   propia emisien acc postmov selo si  opcien   acciones   propia emisien rut soc emisora sdlo si  opcien   acciones   cuales  sociedad  titular ceddigo  bolsa factor acciones acciones  recibir   accien cderecho precio   accin tipo  moneda observaciones oportunamente  sociedad comunicara   accionistas  calificacien tributaria   dividendo  monto  dividendo  pagara  peso moneda nacional  dividendo  carga   cuenta  ganancias acumuladas  pago  dividendo  efectue   mismo acto  celebracien   junta extraordinaria  accionistas    acord  distribucien mediante compensacien  creditos  sociedad concesionaria concesiones urbanas sa mantiene     accionistas  virtud   contratos  mutuos vigentes  dicha sociedad   accionistas  concurrencia   suma  menor valor sociedad concesionaria concesiones urbanas sa   sociedad anenima cerrada inscrita   registro especial  entidades informantes   superintendencia  valores  seguros bajo  n° declaracion “  informacien contenida    formulario   expresion fiel   verdad    asumo  responsabilidad legal correspondiente ’ f va x ale ww oe eee claidio lobos valdes gerente general sociedad concesionaria concesiones urbanas sa "
"194","hecho esencial sociedad  recreacion  arrayan sa  liquidacin inscripcion   registro  valores n°  santiago  chile   agosto  ref informa  comisin liquidadora sefior joaquin cortez presidente comisin   mercado financiero presente   consideracion   presente   conformidad   dispuesto   articulos °  ° inciso segundo   ley   sefalado   norma  caracter general n°   modificaciones comunico  usted   caracter  hecho esencial respecto  sociedad  recreacion  arrayan sa  liquidacien  adelante  “ sociedad ”  siguiente   comisien liquidadora   sociedad designada  junta extraordinaria  accionistas  fecha  diciembre   adelante  “ comisien liquidadora ” adoptd  siguientes acuerdos  unanimidad  sesin  fecha  agosto    realice  reparto final  capital  atencien    recibio  totalidad   cuenta  cobrar   sociedad   activos   sociedad  vendidos   pasivos  encuentran pagados   manera  comisien  establecido  pago   accionistas  prorrata   acciones emitidas   cada     monto  capital  serum repartido   suma  ciento noventa millones quinientos veintidds mil cuatrocientos cincuenta peso   seran distribuidos  prorrata   acciones suscritas  pagadas  pago  capital serum  efectivo  publicacien  aviso serum  dia  agosto   informa   dio cumplimiento   indicado   circular n°    antecedentes requeridos   servicio  presentaron  dia  agosto    horas  reparto  capital  pagara  contar  dia  septiembre   siguientes modalidades  presencial   dias miercoles habiles    horas     horas   plazo  dias mediante cheque nominativo  accionistas deben enviar  correo electrednico  elarrayansagmailcom  carta certificada  domicilio social nataniel cox oficina santiago solicitando  pago correspondiente   dia  pago  consideraran todas  comunicaciones recibidas   dia lunes anterior   horas  deposito   accionistas  asi  solicitaren  escrito   depositara  cuenta corriente   ahorro bancaria  titular   acciones   accionistas   enviara  copia  comprobante respectivo    vez transcurrido  plazo  dias  accionistas deben tomar contacto  escrito   sociedad  coordinar  pago respectivo   particular saluda atentamente  sefor presidente f  carlos contreras godoy presidente comision liquidadora sociedad  recreacien  arrayan sa  liquidacien "
"195","santiago  agosto  sefior joaquin cortez huerta presidente comision   mercado financiero presente hecho esencial compania  seguros  credito coface chile sa ref nuevo director   consideracin  conforme   dispuesto   articulo   ley    circular   comisien   mercado financiero vengo  informar  calidad  hecho esencial   fecha  agosto   directorio   compaiiia procedie  designar  director reemplazante  renunciado sr bart pattyn   sefiora carmina abad sanchez  ademas asumira  presidenta  directorio  acuerdo   establecido   articulo   ley  sociedades anonimas   proxima junta ordinaria  accionistas  procedera   renovacion total  directorio   particular  saluda  semen ouis ez erente general compania  uros  credito coface chile sa "
"196","® litoral — poomes lea cocergia “ hecho esencial ” compania electrica  litoral sa inscripcion   registro  valores n° gg santiago noviembre  sefior joaquin cortez huerta presidente comision   mercado financiero av libertador bernardo  ’ higgins n° presente sefir presidente  virtud   establecido   articulos °  ° inciso segundo   ley n°    norma  caracter general n°   comision  debidamente facultada   directorio comunico  usted  siguiente  caracter  hecho esencial  sesion celebrada   octubre   directorio   sociedad tomde conocimiento   siguiente  administracien   sociedad concluy  analisis  estudio  impacto  significa  aplicacien   normativa contable relativa   determinacidn   provisien  incobrables niif  anterior pues   fecha  sociedad  habia aplicado dicha nueva normativa  acuerdo   auditores pues  estimaba   impactos  serian significativos respecto  procedimiento  vigencia   ultimos afios  caso   dicho estudio efectuado   apoyo   consultor externo arroja  diferencia significativa   saldos correspondientes  dicha provision  incobrables producto   incremento sustantivo   morosidad   clientes   luz   efectos   pandemia  afecta  pais  particular  sector electrico  objeto   ley especial   permitido   pago   cuentas     pueda aplicar  corte  suministro    duda impacta   morosidad  aquellos tramos  segun  estudio   probabilidad  incobrabilidad  conformidad   establecido   circular n°   comision   mercado financiero informamos  usted  estimamos   situacien    refiere  presente hecho esencial tendra  efecto negativo   resultados   sociedad  orden  millones   mes  septiembre saluda atentamente  usted paulina guzman trujillo gerente general compania electrica  litoral sa "
"197","adretail sa hecho esencial ad retail sa registro  valores n° santiago  agosto  ‘ sefior ‘ joaquin cortez huerta presidente comisin   mercado financiero presente   consideracion conforme   dispuesto   articulos  inciso segundo   ley n°  mercado  valores   contemplado   norma  caracter general n®   comision   mercado financiero informo  usted  calidad  hecho esencial   fecha  agosto   celebro ° junta extraordinaria  accionistas    unanimidad   acciones emitidas  ad retail sa  adelante “  sociedad ”  adoptaron  siguientes acuerdos aumentar  ntimero  directores   sociedad   directores titulares  respecto  ratific  directores titulares  don pablo turner gonzalez don jaime fernando santa cruz negri don cristian neely barbieri don roberto piriz simonetti don juan manuel santa cruz munizaga don juan pablo santa cruz negri  don diego vidal sanchez consecuentemente   acuerdo adoptado  procedi  designar  don alfredo guardiola carrere   dofia fresia margarita hanckes estefan  nuevos directores titulares  crear  cargo  vicepresidente  directorio adretail sa  continuacien   junta  accionistas  indicada  sesion ordinaria  ‘ directorio n°  acord designar  don pablo turner gonzalez  presidente  directorio    sociedad adicionalmente  designe  don jaime fernando santa cruz negri  vicepresidente  acuerdo   normativa vigente  hard llegar oportunamente  copia  acta correspondiente   citada junta  accionistas   particular  saluda  atentamente francisco samani¢go gangroniz gerentegen ad sa "
